date,cellphone,smartphone
10/27/02,0.62,0.02
11/30/04,0.65,0.07
2/9/05,0.66,0.1
12/31/05,0.67,0.1
3/28/06,0.66,0.15
4/6/06,0.73,0.14
9/5/07,0.76,0.18
12/2/07,0.75,0.2
1/13/08,0.77,0.22
5/11/08,0.78,0.23
8/10/08,0.82,0.21
12/20/08,0.84,0.22
1/27/09,0.85,0.23
4/19/09,0.85,0.24
9/14/09,0.84,0.25
12/27/09,0.83,0.26
1/19/10,0.8,0.27
5/30/10,0.82,0.28
9/13/10,0.85,0.29
11/1/10,0.84,0.3
11/24/10,0.82,0.31
11/28/10,0.82,0.32
12/21/10,0.81,0.33
3/20/11,0.86,0.34
5/22/11,0.83,0.35
8/26/11,0.84,0.36
12/21/11,0.87,0.37
1/8/12,0.88,0.38
1/15/12,0.87,0.39
2/19/12,0.88,0.45
4/3/12,0.88,0.46
8/5/12,0.87,0.44
8/7/12,0.89,0.45
9/6/12,0.85,0.45
9/23/12,0.88,0.43
9/30/12,0.89,0.44
10/14/12,0.88,0.45
11/4/12,0.89,0.45
11/10/12,0.84,0.46
12/9/12,0.87,0.45
12/16/12,0.88,0.47
1/6/13,0.89,0.51
5/19/13,0.91,0.56
7/14/13,0.9,0.53
7/28/13,0.91,0.53
9/16/13,0.89,0.54
9/30/13,0.91,0.55
10/6/13,0.92,0.58
1/5/14,0.92,0.55
1/12/14,0.9,0.58
1/26/14,0.91,0.55
2/18/14,0.9,0.56
4/27/14,0.92,0.57
9/21/14,0.91,0.58
12/21/14,0.89,0.59
4/12/15,0.92,0.67
7/12/15,0.92,0.68
11/15/15,0.91,0.69
4/4/16,0.92,0.72
5/3/16,0.92,0.7
11/6/16,0.95,0.77
1/10/18,0.95,0.77
2/7/19,0.96,0.81
